Date,Humidity,Temperature
2018-08-03 03:45:02,30,27
2018-08-03 03:45:09,30,27
2018-08-03 03:45:16,33,27
2018-08-03 03:45:23,34,27
2018-08-03 03:45:30,34,27
2018-08-03 03:45:37,34,27
2018-08-03 03:45:44,33,27
2018-08-03 03:45:51,33,27
2018-08-03 03:45:58,32,27
2018-08-03 03:46:05,32,27
2018-08-03 03:46:12,31,27
2018-08-03 03:46:19,31,27
2018-08-03 03:46:26,31,27
2018-08-03 03:46:33,30,27
2018-08-03 03:46:40,30,27
2018-08-03 03:46:47,30,27
2018-08-03 03:46:54,30,27
2018-08-03 03:47:01,30,27
2018-08-03 03:47:08,30,27
2018-08-03 03:47:15,30,27
2018-08-03 03:47:22,30,27
2018-08-03 03:47:29,30,27
2018-08-03 03:47:36,30,27
2018-08-03 03:47:43,30,27
2018-08-03 03:47:50,30,27
2018-08-03 03:47:57,32,28
2018-08-03 03:48:04,31,27
2018-08-03 03:48:11,31,27
2018-08-03 03:48:18,31,27
2018-08-03 03:48:25,33,28
2018-08-03 03:48:32,31,27
2018-08-03 03:48:39,33,28
2018-08-03 03:48:46,33,28
2018-08-03 03:48:53,33,28
2018-08-03 03:49:00,33,28
2018-08-03 03:49:07,33,28
2018-08-03 03:49:14,33,28
2018-08-03 03:49:21,33,28
2018-08-03 03:49:28,33,28
2018-08-03 03:49:35,34,29
2018-08-06 12:56:26,62,31
2018-08-06 12:56:33,62,31
2018-08-06 12:56:40,61,30
2018-08-06 12:56:47,62,31
2018-08-07 03:49:30,65,30
2018-08-07 03:49:37,65,30
2018-08-07 03:49:44,65,30
2018-08-07 03:49:51,66,31
2018-08-07 03:49:58,65,30
2018-08-07 03:50:05,65,30
2018-08-07 03:50:12,66,31
2018-08-07 03:50:19,65,30
2018-08-07 03:50:26,65,30
2018-08-07 03:50:33,65,30
2018-08-07 03:50:39,65,30
2018-08-07 03:50:46,66,31
2018-08-07 03:50:53,66,31
2018-08-07 03:51:00,65,30
2018-08-07 03:51:07,65,30
2018-08-07 03:51:14,65,30
2018-08-07 03:51:21,65,30
2018-08-07 03:51:28,65,30
2018-08-07 03:51:35,66,31
2018-08-07 03:51:42,65,30
2018-08-07 03:51:49,65,30
2018-08-07 03:51:56,65,30
2018-08-07 03:52:03,65,30
2018-08-07 03:52:10,66,31
2018-08-07 03:52:17,66,31
2018-08-07 03:52:23,65,30
2018-08-07 03:52:30,65,30
2018-08-07 03:52:37,65,30
2018-08-07 03:52:44,65,30
2018-08-07 03:52:51,66,31
2018-08-07 03:52:58,65,30
2018-08-07 03:53:05,65,30
2018-08-07 03:53:12,65,30
2018-08-07 03:53:19,65,30
2018-08-07 03:53:26,65,30
2018-08-07 03:53:33,65,30
2018-08-07 03:53:40,65,30
2018-08-07 03:53:47,65,30
2018-08-07 03:53:53,65,30
2018-08-07 03:54:00,65,30
2018-08-07 03:54:07,65,30
2018-08-07 03:54:14,65,30
2018-08-07 03:54:21,65,30
2018-08-07 03:54:28,65,30
2018-08-07 03:54:35,65,30
2018-08-07 03:54:42,65,30
2018-08-07 03:54:48,65,30
2018-08-07 03:54:55,65,30
2018-08-07 03:55:02,65,30
2018-08-07 03:55:09,66,31
2018-08-07 03:55:16,65,30
2018-08-07 03:55:23,65,30
2018-08-07 03:55:30,65,30
2018-08-07 03:55:37,66,31
2018-08-07 03:55:44,65,30
2018-08-07 03:55:51,65,30
2018-08-07 03:55:58,66,31
2018-08-07 03:56:04,65,30
2018-08-07 03:56:11,65,30
2018-08-07 03:56:18,65,30
2018-08-07 03:56:25,65,30
2018-08-07 03:56:32,65,30
2018-08-07 03:56:39,66,31
2018-08-07 03:56:45,65,30
2018-08-07 03:56:52,65,30
2018-08-07 03:56:58,65,30
2018-08-07 03:57:05,65,30
2018-08-07 03:57:12,65,30
2018-08-07 03:57:19,66,31
2018-08-07 03:57:26,66,31
2018-08-07 03:57:33,65,30
2018-08-07 03:57:40,65,30
2018-08-07 03:57:47,66,31
2018-08-07 03:57:54,66,31
2018-08-07 03:58:01,66,31
2018-08-07 03:58:08,66,31
2018-08-07 03:58:14,65,30
2018-08-07 03:58:21,65,30
2018-08-07 03:58:28,65,30
2018-08-07 03:58:35,66,31
2018-08-07 03:58:42,66,31
2018-08-07 03:58:49,65,30
2018-08-07 03:58:56,65,30
2018-08-07 03:59:03,66,31
2018-08-07 03:59:10,65,30
2018-08-07 03:59:17,65,30
2018-08-07 03:59:23,66,31
2018-08-07 03:59:30,65,30
2018-08-07 03:59:36,66,31
2018-08-07 03:59:43,64,30
2018-08-07 03:59:50,64,30
2018-08-07 03:59:56,64,30
2018-08-07 04:00:02,65,31
2018-08-07 04:00:09,65,31
2018-08-07 04:00:15,65,31
2018-08-07 04:00:21,65,31
2018-08-07 04:00:28,65,31
2018-08-07 04:00:35,65,31
2018-08-07 04:00:42,65,31
2018-08-07 04:00:49,65,31
2018-08-07 04:00:56,64,30
2018-08-07 04:01:03,64,30
2018-08-07 04:01:10,64,30
2018-08-07 04:01:16,64,30
2018-08-07 04:01:22,64,30
2018-08-07 04:01:29,65,31
2018-08-07 04:01:35,65,31
2018-08-07 04:01:42,65,31
2018-08-07 04:01:48,65,31
2018-08-07 04:01:55,65,31
2018-08-07 04:02:02,65,31
2018-08-07 04:02:09,65,31
2018-08-07 04:02:16,65,31
2018-08-07 04:02:23,65,31
2018-08-07 04:02:30,64,30
2018-08-07 04:02:36,64,30
2018-08-07 04:02:43,64,30
2018-08-07 04:02:49,64,30
2018-08-07 04:02:55,65,31
2018-08-07 04:03:02,65,31
2018-08-07 04:03:09,65,31
2018-08-07 04:03:16,65,31
2018-08-07 04:03:22,64,30
2018-08-07 04:03:29,65,31
2018-08-07 04:03:36,65,31
2018-08-07 04:03:42,65,31
2018-08-07 04:03:49,65,31
2018-08-07 04:03:56,64,30
2018-08-07 04:04:03,65,31
2018-08-07 04:04:10,65,31
2018-08-07 04:04:16,65,31
2018-08-07 04:04:23,65,31
2018-08-07 04:04:30,65,31
2018-08-07 04:04:36,65,31
2018-08-07 04:04:42,65,31
2018-08-07 04:04:49,65,31
2018-08-07 04:04:56,64,30
2018-08-07 04:05:02,65,31
2018-08-07 04:05:09,65,31
2018-08-07 04:05:16,65,31
2018-08-07 04:05:23,65,31
2018-08-07 04:05:30,65,31
2018-08-07 04:05:37,65,31
2018-08-07 04:05:43,65,31
2018-08-07 04:05:49,65,31
2018-08-07 04:05:56,64,30
2018-08-07 04:06:02,65,31
2018-08-07 04:06:09,65,31
2018-08-07 04:06:16,65,31
2018-08-07 04:06:23,65,31
2018-08-07 04:06:30,65,31
2018-08-07 04:06:37,65,31
2018-08-07 04:06:44,65,31
2018-08-07 04:06:51,64,30
2018-08-07 04:06:58,65,31
2018-08-07 04:07:05,65,31
2018-08-07 04:07:12,65,31
2018-08-07 04:07:18,65,31
2018-08-07 04:07:25,64,30
2018-08-07 04:07:32,65,31
2018-08-07 04:07:39,65,31
2018-08-07 04:07:46,64,30
2018-08-07 04:07:52,64,30
2018-08-07 04:07:59,65,31
2018-08-07 04:08:06,65,31
2018-08-07 04:08:13,65,31
2018-08-07 04:08:20,64,30
2018-08-07 04:08:26,65,31
2018-08-07 04:08:33,65,31
2018-08-07 04:08:40,64,30
2018-08-07 04:08:47,64,30
2018-08-07 04:08:54,64,30
2018-08-07 04:09:01,64,30
2018-08-07 04:09:08,64,30
2018-08-07 04:09:15,65,31
2018-08-07 04:09:21,66,31
2018-08-07 04:09:27,65,30
2018-08-07 04:09:33,66,31
2018-08-07 04:09:40,66,31
2018-08-07 04:09:46,66,31
2018-08-07 04:09:53,65,30
2018-08-07 04:09:59,65,30
2018-08-07 04:10:06,66,31
2018-08-07 04:10:12,65,30
2018-08-07 04:10:18,65,30
2018-08-07 04:10:24,66,31
2018-08-07 04:10:31,66,31
2018-08-07 04:10:38,65,30
2018-08-07 04:10:45,65,30
2018-08-07 04:10:51,65,30
2018-08-07 04:10:57,65,30
2018-08-07 04:11:04,66,31
2018-08-07 04:11:11,66,31
2018-08-07 04:11:17,66,31
2018-08-07 04:11:24,66,31
2018-08-07 04:11:31,66,31
2018-08-07 04:11:38,65,30
2018-08-07 04:11:45,66,31
2018-08-07 04:11:52,66,31
2018-08-07 04:11:59,66,31
2018-08-07 04:12:06,66,31
2018-08-07 04:12:13,66,31
2018-08-07 04:12:20,66,31
2018-08-07 04:12:27,66,31
2018-08-07 04:12:34,66,31
2018-08-07 04:12:41,65,30
2018-08-07 04:12:48,65,30
2018-08-07 04:12:55,65,30
2018-08-07 04:13:01,65,30
2018-08-07 04:13:08,65,30
2018-08-07 04:13:15,66,31
2018-08-07 04:13:22,66,31
2018-08-07 04:13:28,66,31
2018-08-07 04:13:35,66,31
2018-08-07 04:13:42,65,30
2018-08-07 04:13:49,66,31
2018-08-07 04:13:56,65,30
2018-08-07 04:14:02,65,30
2018-08-07 04:14:09,65,30
2018-08-07 04:14:16,66,31
2018-08-07 04:14:23,65,30
2018-08-07 04:14:29,65,30
2018-08-07 04:14:36,65,30
2018-08-07 04:14:43,65,30
2018-08-07 04:14:50,66,31
2018-08-07 04:14:57,66,31
2018-08-07 04:15:04,65,30
2018-08-07 04:15:11,66,31
2018-08-07 04:15:18,66,31
2018-08-07 04:15:25,65,30
2018-08-07 04:15:32,65,30
2018-08-07 04:15:39,66,31
2018-08-07 04:15:46,65,30
2018-08-07 04:15:53,66,31
2018-08-07 04:16:00,66,31
2018-08-07 04:16:07,66,31
2018-08-07 04:16:14,66,31
2018-08-07 04:16:21,66,31
2018-08-07 04:16:28,66,31
2018-08-07 04:16:35,66,31
2018-08-07 04:16:42,66,31
2018-08-07 04:16:49,66,31
2018-08-07 04:16:56,65,31
2018-08-07 04:17:03,65,31
2018-08-07 04:17:10,65,31
2018-08-07 04:17:17,66,31
2018-08-07 04:17:24,65,31
2018-08-07 04:17:31,65,31
2018-08-07 04:17:38,65,31
2018-08-07 04:17:44,65,31
2018-08-07 04:17:51,65,31
2018-08-07 04:17:58,65,31
2018-08-07 04:18:05,65,31
2018-08-07 04:18:11,65,31
2018-08-07 04:18:18,65,31
2018-08-07 04:18:25,65,31
2018-08-07 04:18:32,65,31
2018-08-07 04:18:39,65,31
2018-08-07 04:18:46,65,31
2018-08-07 04:18:53,65,31
2018-08-07 04:19:00,65,31
2018-08-07 04:19:07,65,31
2018-08-07 04:19:14,65,31
2018-08-07 04:19:21,65,31
2018-08-07 04:19:28,65,31
2018-08-07 04:19:33,65,31
2018-08-07 04:19:42,65,31
2018-08-07 04:19:46,65,31
2018-08-07 04:19:53,65,31
2018-08-07 04:20:00,65,31
2018-08-07 04:20:10,65,32
2018-08-07 04:20:17,65,31
2018-08-07 04:20:23,65,31
2018-08-07 04:20:30,65,31
2018-08-07 04:20:37,65,31
2018-08-07 04:20:44,64,31
2018-08-07 04:20:51,64,31
2018-08-07 04:20:58,64,31
2018-08-07 04:21:05,64,31
2018-08-07 04:21:11,64,32
2018-08-07 04:21:18,64,31
2018-08-07 04:21:24,64,31
2018-08-07 04:21:30,64,32
2018-08-07 04:21:37,64,31
2018-08-07 04:21:44,64,31
2018-08-07 04:21:51,64,31
2018-08-07 04:21:57,64,31
2018-08-07 04:22:04,64,32
2018-08-07 04:22:11,63,31
2018-08-07 04:22:18,63,31
2018-08-07 04:22:25,63,32
2018-08-07 04:22:32,63,32
2018-08-07 04:22:39,63,31
2018-08-07 04:22:46,63,31
2018-08-07 04:22:53,63,32
2018-08-07 04:23:00,63,32
2018-08-07 04:23:07,63,32
2018-08-07 04:23:14,63,32
2018-08-07 04:23:21,63,32
2018-08-07 04:23:28,63,32
2018-08-07 04:23:35,63,32
2018-08-07 04:23:42,63,31
2018-08-07 04:23:49,62,32
2018-08-07 04:23:56,62,32
2018-08-07 04:24:03,62,32
2018-08-07 04:24:10,62,32
2018-08-07 04:24:17,62,32
2018-08-07 04:24:24,62,32
2018-08-07 04:24:31,62,32
2018-08-07 04:24:38,62,32
2018-08-07 04:24:44,62,32
2018-08-07 04:24:51,62,32
2018-08-07 04:24:57,62,32
2018-08-07 04:25:04,62,32
2018-08-07 04:25:10,62,32
2018-08-07 04:25:17,62,32
2018-08-07 04:25:24,62,32
2018-08-07 04:25:31,62,32
2018-08-07 04:25:38,61,32
2018-08-07 04:25:45,61,32
2018-08-07 04:25:52,61,32
2018-08-07 04:25:59,61,32
2018-08-07 04:26:06,61,32
2018-08-07 04:26:13,61,32
2018-08-07 04:26:20,61,32
2018-08-07 04:26:27,61,32
2018-08-07 04:26:34,61,32
2018-08-07 04:26:41,61,32
2018-08-07 04:26:48,61,32
2018-08-07 04:26:55,61,32
2018-08-07 04:27:02,61,32
2018-08-07 04:27:09,61,32
2018-08-07 04:27:16,62,33
2018-08-07 04:27:23,61,32
2018-08-07 04:27:30,61,32
2018-08-07 04:27:37,62,33
2018-08-07 04:27:44,61,32
2018-08-07 04:27:51,61,32
2018-08-07 04:27:58,61,32
2018-08-07 04:28:05,62,33
2018-08-07 04:28:12,60,32
2018-08-07 04:28:19,60,32
2018-08-07 04:28:26,61,33
2018-08-07 04:28:33,60,32
2018-08-07 04:28:40,60,32
2018-08-07 04:28:47,60,32
2018-08-07 04:28:54,61,33
2018-08-07 04:29:01,60,32
2018-08-07 04:29:08,60,32
2018-08-07 04:29:14,61,33
2018-08-07 04:29:21,61,33
2018-08-07 04:29:28,61,33
2018-08-07 04:29:35,61,33
2018-08-07 04:29:42,61,33
2018-08-07 04:29:49,60,32
2018-08-07 04:29:56,61,33
2018-08-07 04:30:03,59,32
2018-08-07 04:30:10,61,33
2018-08-07 04:30:17,60,32
2018-08-07 04:30:24,61,33
